galaxy_file,best_sigma_kms,sigma_err_kms,min_chi2_reduced,best_template_file
1226-52734-324.fits,241.71057072457546,3.940109840202341,1.5478258820336908,s0881.fits
1234-52724-61.fits,58.915193286621744,16.639678282816476,0.7904966338558279,s0769.fits
1382-53115-283.fits,24.49489742783178,49.1271448742499,0.7338546195951717,s0594.fits
1734-53034-602.fits,24.49489742783178,,0.7983222526818357,s0655.fits
1864-53313-542.fits,203.46989949375805,75.09813113368287,0.6839590150958479,s0970.fits
338-51694-135.fits,131.64725595317208,38.76539435660738,0.6922565440445289,s0678.fits
435-51882-318.fits,193.39079605813717,86.23681906755081,1.0807518078176732,s0373.fits
891-52584-248.fits,82.28608630868283,19.67554762402323,0.6710571004172089,s0739.fits
908-52373-550.fits,78.09609465267773,17.66304041567944,0.7108729405060046,s0829.fits
spec-1678-53433-0474.fits,154.9967741599805,16.06050362978853,0.7452731620597076,s0981.fits
